azureaianomalydetector,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.AI.AnomalyDetector,3.0.0-alpha.20231025.1
azureaicontentsafety,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.ContentSafety,1.0.0-alpha.20231024.1
azureaiformrecognizer,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.FormRecognizer,4.2.0-alpha.20231024.1
azureailanguageconversations,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Language.Conversations,1.2.0-alpha.20231025.1
azureailanguagequestionanswering,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Language.QuestionAnswering,1.2.0-alpha.20231025.1
azureaimetricsadvisor,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.MetricsAdvisor,1.2.0-alpha.20231025.1
azureaiopenai,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.OpenAI,1.0.0-alpha.20231024.2
azureaipersonalizer,[isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json;tfm=netstandard2.0]Azure.AI.Personalizer,2.0.0-alpha.20231025.1
azureaitextanalytics,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.TextAnalytics,5.4.0-alpha.20231025.1
azureaitranslationdocument,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Translation.Document,1.1.0-alpha.20231025.1
azureaitranslationtext,[tfm=netstandard2.0;isPrerelease=true;customSource=https://pkgs.dev.azure.com/azure-sdk/public/_packaging/azure-sdk-for-net/nuget/v3/index.json]Azure.AI.Translation.Text,1.0.0-alpha.20231025.1
azureaivisioncommon,[tfm=netstandard2.0;isPrerelease=true]Azure.AI.Vision.Common,0.15.1-beta.1
azureaivisioncore,[tfm=netstandard2.0;isPrerelease=true]Azure.AI.Vision.Core,0.10.0-beta.1
